job title,company,experience,salary,location,education,python,r,sql,excel,vba,powerbi,tableau,nosql,sas,git,matlab
Data Scientist,Extramarks Education,3 - 5 years,"₹ 5,00,000 - 15,00,000 P.A.","Noida( Sector-136 Noida ), Ghaziabad, Greater Noida, Delhi / NCRView More",bachelor ,python,,sql,,,,,nosql,,,
"Associate Engineer, Data Scientist",Micron Semiconductor,2 - 6 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,r,sql,excel,,,tableau,,,,
"Associate Data Science Engineer, SMAI",Micron Semiconductor,5 - 8 years,Not Disclosed,Hyderabad/SecunderabadView More,bachelor  master ,python,r,sql,,,,tableau,,,,
Data Science Lead,Cliqhr Recruitment Services,5 - 10 years,Not Disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCRView More",bachelor  master  phd ,python,,,excel,,,,,,,
Data Science Leader,Johnson Controls,8 - 9 years,Not Disclosed,PuneView More,bachelor  master ,python,,,excel,,,,,,,
Intern - Data Science,Smaclify Technologies,0 - 2 years,Not Disclosed,PuneView More,bachelor  master ,python,,,,,,,,,,
Lead Data Science Engineer - Python/Machine Learning,Huquo Consulting Pvt. Ltd,5 - 8 years,Not Disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/BengaluruView More",bachelor  master  phd ,python,r,sql,excel,,,,,,,
Senior Data Scientist,Srijan Technologies Pvt. Ltd.,2 - 3 years,Not Disclosed,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/BengaluruView More",bachelor  master ,python,,sql,,,,,,,,
Senior Data Engineer - Data Visualization,Srijan Technologies Pvt. Ltd.,3 - 5 years,Not Disclosed,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/BengaluruView More",bachelor  master ,python,r,sql,,,powerbi,tableau,,,,
"Senior /Lead, Data Science - AI/ML",Srijan Technologies Pvt. Ltd.,3 - 7 years,Not Disclosed,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/BengaluruView More",bachelor  master ,python,,,,,,,,,,
